fecha,gen_bioenergy,gen_clean,gen_fossil,gen_gas,gen_gas_and_other_fossil,gen_hydro,gen_hydro__bioenergy_and_other_renewables,gen_other_fossil,gen_renewables,gen_solar,gen_total_generation,gen_wind,gen_wind_and_solar,demanda_twh,co2_intensity,importaciones_netas,pais,gen_coal,gen_other_renewables,gen_nuclear,if_anomaly,if_score,stl_anomaly,cusum_anomaly,consensus,n_techniques,weighted_consensus,weighted_score,hydro_dependency
2018-01-01,0.09,19.49,36.895,34.42,35.745,16.305,16.395,1.325,16.66,0.0,12.76,0.265,0.265,12.77,404.39,0.01,Argentina,1.15,,2.83,0,0.0,0,0,0,0,0,0.0,0.13630969387755099
2018-02-01,0.095,18.535,37.35,34.925,36.21,15.489999999999998,15.585,1.285,15.825,0.0,11.76,0.24,0.24,11.77,411.57,0.01,Argentina,1.14,,2.71,0,0.0,0,0,0,0,0,0.0,0.13630969387755099
2018-03-01,0.095,18.73,37.08,34.725,35.83,15.945,16.04,1.105,16.28,0.0,11.62,0.24,0.24,11.62,409.64,0.0,Argentina,1.25,,2.45,0,0.0,0,0,0,0,0,0.0,0.13630969387755099
2018-04-01,0.0999999999999999,19.39,36.035,33.84,35.165,16.025,16.125,1.3250000000000002,16.43,0.0,10.86,0.305,0.305,10.86,400.55,0.0,Argentina,0.87,,2.96,0,0.0,0,0,0,0,0,0.0,0.13630969387755099
2018-05-01,0.15,19.44,36.055,34.59,35.4,15.2,15.35,0.8099999999999999,15.655,0.0,10.99,0.305,0.305,11.01,397.63,0.02,Argentina,0.655,,3.785,0,0.0,0,0,0,0,0,0.0,0.13630969387755099
2018-06-01,0.2299999999999999,19.16,36.995,34.44,35.625,15.145,15.375,1.185,15.785,0.0,12.31,0.41,0.41,12.32,407.8,0.01,Argentina,1.37,,3.375,0,0.0,0,0,0,0,0,0.0,0.13630969387755099
2018-07-01,0.215,19.715,36.8,34.2,35.455,16.035,16.25,1.255,16.64,0.0,13.04,0.3899999999999999,0.3899999999999999,13.05,403.37,0.01,Argentina,1.345,,3.075,0,0.0,0,0,0,0,0,0.0,0.13630969387755099
2018-08-01,0.2299999999999999,20.255,35.79,33.75,34.585,16.27,16.5,0.835,17.195,0.045,12.09,0.6499999999999999,0.695,12.1,394.54,0.01,Argentina,1.205,,3.06,0,0.0,0,0,0,0,0,0.0,0.13630969387755099
2018-09-01,0.215,18.32,36.795,35.879999999999995,36.525,15.57,15.785,0.645,16.65,0.055,10.23,0.8099999999999999,0.865,10.11,406.65,-0.12,Argentina,0.27,,1.67,0,0.0,0,0,0,0,0,0.0,0.13630969387755099
2018-10-01,0.215,22.53,32.65,31.85,32.435,19.12,19.335,0.5850000000000001,20.4,0.055,10.36,1.01,1.065,10.26,362.93,-0.1,Argentina,0.215,,2.13,0,0.0,0,0,0,0,0,0.0,0.13630969387755099
2018-11-01,0.215,24.935,30.255,29.67,30.255,21.425,21.64,0.5850000000000001,22.915000000000003,0.105,10.38,1.1700000000000002,1.275,10.41,337.19,0.03,Argentina,0.0,,2.02,0,0.0,0,1,0,1,0,0.636309693877551,0.13630969387755099
2018-12-01,0.15,22.41,33.13,32.28,33.13,19.7,19.85,0.85,21.355,0.1999999999999999,11.08,1.3050000000000002,1.505,11.27,364.62,0.19,Argentina,0.0,,1.055,0,0.0,0,1,0,1,0,0.636309693877551,0.13630969387755099
2019-01-01,0.095,19.825000000000003,36.035,35.03,35.985,17.205000000000002,17.3,0.955,18.87,0.19,11.72,1.38,1.57,12.12,391.64,0.4,Argentina,0.0499999999999999,,0.955,0,0.012070635236011595,0,1,0,1,0,0.636309693877551,0.13630969387755099
2019-02-01,0.15,16.785,38.690000000000005,37.025000000000006,38.085,13.755,13.905,1.06,15.27,0.1999999999999999,10.97,1.165,1.365,11.06,426.62,0.09,Argentina,0.605,,1.515,1,-0.0007785130638129356,0,1,1,2,1,1.5545238775510204,0.13630969387755099
2019-03-01,0.215,21.55,33.565,33.08,33.565,16.54,16.755,0.485,18.695,0.27,10.23,1.67,1.94,10.47,369.5,0.24,Argentina,0.0,,2.855,0,0.0301926956801834,0,1,0,1,0,0.636309693877551,0.13630969387755099
2019-04-01,0.1699999999999999,22.025,32.845,32.28,32.845,16.11,16.28,0.5650000000000001,18.42,0.28,9.74,1.86,2.14,9.89,363.45,0.15,Argentina,0.0,,3.605,0,0.058448860510088296,0,1,0,1,0,0.636309693877551,0.13630969387755099
2019-05-01,0.21,23.145,32.08,30.705,31.655,16.54,16.75,0.95,18.705,0.21,10.45,1.745,1.955,10.78,356.94,0.33,Argentina,0.425,,4.44,0,0.07157523798785642,0,1,0,1,0,0.636309693877551,0.13630969387755099
2019-06-01,0.305,21.555,33.87,32.285,33.155,15.17,15.475,0.87,17.775,0.205,10.85,2.095,2.3000000000000003,11.08,375.12,0.23,Argentina,0.7150000000000001,,3.78,0,0.08008791739135745,0,1,0,1,0,0.636309693877551,0.13630969387755099
2019-07-01,0.275,20.290000000000003,35.875,33.64,34.504999999999995,14.495,14.77,0.865,16.915,0.2299999999999999,12.32,1.915,2.145,12.44,395.29,0.12,Argentina,1.37,,3.375,0,0.06743539938900628,0,1,0,1,0,0.636309693877551,0.13630969387755099
2019-08-01,0.29,22.995,32.805,32.18,32.805,16.02,16.31,0.625,18.81,0.3349999999999999,11.6,2.165,2.5,11.95,356.9,0.35,Argentina,0.0,,4.185,0,0.07206445001113426,0,1,0,1,0,0.636309693877551,0.13630969387755099
2019-09-01,0.31,23.85,31.455,29.895,30.57,15.78,16.09,0.675,19.32,0.47,10.62,2.76,3.23,10.6,351.22,-0.02,Argentina,0.885,,4.529999999999999,0,0.07326949605651539,0,1,0,1,0,0.636309693877551,0.13630969387755099
2019-10-01,0.3149999999999999,22.23,33.075,31.875,32.865,14.975,15.29,0.99,18.525,0.52,10.6,2.715,3.235,10.79,365.09,0.19,Argentina,0.21,,3.705,0,0.08043199432303022,0,1,0,1,0,0.636309693877551,0.13630969387755099
2019-11-01,0.26,23.325,32.0,31.115,31.895,15.585,15.845,0.7799999999999999,19.375,0.5700000000000001,10.65,2.96,3.53,10.97,353.99,0.32,Argentina,0.105,,3.95,0,0.0716508571609148,0,1,0,1,0,0.636309693877551,0.13630969387755099
2019-12-01,0.24,22.035,33.71,31.92,32.695,14.775,15.015,0.7749999999999999,18.5,0.5800000000000001,11.51,2.905,3.485,11.6,372.72,0.09,Argentina,1.015,,3.535,0,0.08866272065463565,0,1,0,1,0,0.636309693877551,0.13630969387755099
2020-01-01,0.18,21.57,34.64,33.51,34.37,14.245,14.425,0.86,17.994999999999997,0.495,12.43,3.075,3.57,12.44,377.31,0.01,Argentina,0.27,,3.575,0,0.07349418925158463,0,1,0,1,0,0.636309693877551,0.13630969387755099
2020-02-01,0.15,20.915,34.68,33.24,34.135,13.165,13.315,0.895,16.939999999999998,0.3949999999999999,11.19,3.23,3.625,11.2,381.59,0.01,Argentina,0.545,,3.975,0,0.07018270991316672,0,1,0,1,0,0.636309693877551,0.13630969387755099
2020-03-01,0.19,19.28,36.565,34.800000000000004,35.705,11.025,11.215,0.905,14.84,0.475,11.7,3.15,3.625,11.55,401.71,-0.15,Argentina,0.86,,4.44,0,0.06266867339789967,0,1,0,1,0,0.636309693877551,0.13630969387755099
