contamination,stl_sigma,cusum_factor,precision,recall,f1,mcc,n_anomalies
0.05,1.5,3.0,0.375,1.0,0.5454545454545454,0.5934089200049687,8
0.05,1.5,4.0,0.75,1.0,0.8571428571428571,0.8607285626355067,4
0.05,1.5,5.0,0.75,1.0,0.8571428571428571,0.8607285626355067,4
0.05,2.0,3.0,0.42857142857142855,1.0,0.6,0.6384868872784161,7
0.05,2.0,4.0,0.75,1.0,0.8571428571428571,0.8607285626355067,4
0.05,2.0,5.0,0.75,1.0,0.8571428571428571,0.8607285626355067,4
0.05,2.5,3.0,0.6,1.0,0.75,0.765092055676006,5
0.05,2.5,4.0,0.75,1.0,0.8571428571428571,0.8607285626355067,4
0.05,2.5,5.0,0.75,1.0,0.8571428571428571,0.8607285626355067,4
0.08,1.5,3.0,0.3,1.0,0.46153846153846156,0.5238227218271837,10
0.08,1.5,4.0,0.6,1.0,0.75,0.765092055676006,5
0.08,1.5,5.0,0.75,1.0,0.8571428571428571,0.8607285626355067,4
0.08,2.0,3.0,0.3333333333333333,1.0,0.5,0.555826492199584,9
0.08,2.0,4.0,0.6,1.0,0.75,0.765092055676006,5
0.08,2.0,5.0,0.75,1.0,0.8571428571428571,0.8607285626355067,4
0.08,2.5,3.0,0.42857142857142855,1.0,0.6,0.6384868872784161,7
0.08,2.5,4.0,0.6,1.0,0.75,0.765092055676006,5
0.08,2.5,5.0,0.75,1.0,0.8571428571428571,0.8607285626355067,4
0.1,1.5,3.0,0.25,1.0,0.4,0.47176368619230974,12
0.1,1.5,4.0,0.42857142857142855,1.0,0.6,0.6384868872784161,7
0.1,1.5,5.0,0.5,1.0,0.6666666666666666,0.6940513792747413,6
0.1,2.0,3.0,0.2727272727272727,1.0,0.42857142857142855,0.49610455946767107,11
0.1,2.0,4.0,0.42857142857142855,1.0,0.6,0.6384868872784161,7
0.1,2.0,5.0,0.5,1.0,0.6666666666666666,0.6940513792747413,6
0.1,2.5,3.0,0.3333333333333333,1.0,0.5,0.555826492199584,9
0.1,2.5,4.0,0.42857142857142855,1.0,0.6,0.6384868872784161,7
0.1,2.5,5.0,0.5,1.0,0.6666666666666666,0.6940513792747413,6
0.12,1.5,3.0,0.25,1.0,0.4,0.47176368619230974,12
0.12,1.5,4.0,0.42857142857142855,1.0,0.6,0.6384868872784161,7
0.12,1.5,5.0,0.5,1.0,0.6666666666666666,0.6940513792747413,6
0.12,2.0,3.0,0.2727272727272727,1.0,0.42857142857142855,0.49610455946767107,11
0.12,2.0,4.0,0.42857142857142855,1.0,0.6,0.6384868872784161,7
0.12,2.0,5.0,0.5,1.0,0.6666666666666666,0.6940513792747413,6
0.12,2.5,3.0,0.3333333333333333,1.0,0.5,0.555826492199584,9
0.12,2.5,4.0,0.42857142857142855,1.0,0.6,0.6384868872784161,7
0.12,2.5,5.0,0.5,1.0,0.6666666666666666,0.6940513792747413,6
