fecha,hora,generacion_kwh,pais,generacion_mwh
2021-01-01,1,6660644.31,Colombia,6660.64431
2021-01-01,2,6469314.37,Colombia,6469.31437
2021-01-01,3,6235579.1,Colombia,6235.5791
2021-01-01,4,6052481.54,Colombia,6052.48154
2021-01-01,5,5930616.63,Colombia,5930.6166299999995
2021-01-01,6,5828792.96,Colombia,5828.79296
2021-01-01,7,5437937.54,Colombia,5437.93754
2021-01-01,8,5472100.94,Colombia,5472.10094
2021-01-01,9,5761136.44,Colombia,5761.13644
2021-01-01,10,6052680.24,Colombia,6052.680240000001
2021-01-01,11,6270278.29,Colombia,6270.27829
2021-01-01,12,6470778.69,Colombia,6470.77869
2021-01-01,13,6613626.04,Colombia,6613.62604
2021-01-01,14,6669620.13,Colombia,6669.62013
2021-01-01,15,6616209.29,Colombia,6616.20929
2021-01-01,16,6515981.72,Colombia,6515.98172
2021-01-01,17,6472647.9,Colombia,6472.6479
2021-01-01,18,6526204.59,Colombia,6526.20459
2021-01-01,19,7419437.34,Colombia,7419.4373399999995
2021-01-01,20,7657713.66,Colombia,7657.71366
2021-01-01,21,7520289.54,Colombia,7520.28954
2021-01-01,22,7309777.59,Colombia,7309.77759
2021-01-01,23,6962647.58,Colombia,6962.64758
2021-01-01,24,6665152.78,Colombia,6665.15278
2021-01-02,1,6346223.78,Colombia,6346.22378
2021-01-02,2,6076456.77,Colombia,6076.45677
2021-01-02,3,5928709.24,Colombia,5928.70924
2021-01-02,4,5846709.86,Colombia,5846.70986
2021-01-02,5,5840357.15,Colombia,5840.357150000001
2021-01-02,6,5862457.64,Colombia,5862.45764
2021-01-02,7,5787320.26,Colombia,5787.3202599999995
2021-01-02,8,6144260.18,Colombia,6144.260179999999
2021-01-02,9,6604170.77,Colombia,6604.17077
2021-01-02,10,6937292.25,Colombia,6937.29225
2021-01-02,11,7233233.43,Colombia,7233.233429999999
2021-01-02,12,7484796.62,Colombia,7484.79662
2021-01-02,13,7600524.18,Colombia,7600.524179999999
2021-01-02,14,7597831.49,Colombia,7597.8314900000005
2021-01-02,15,7515513.18,Colombia,7515.51318
2021-01-02,16,7447173.73,Colombia,7447.17373
2021-01-02,17,7357492.75,Colombia,7357.49275
2021-01-02,18,7392737.64,Colombia,7392.737639999999
2021-01-02,19,8251196.09,Colombia,8251.19609
2021-01-02,20,8434844.42,Colombia,8434.84442
2021-01-02,21,8244430.28,Colombia,8244.43028
2021-01-02,22,7921561.36,Colombia,7921.561360000001
2021-01-02,23,7457497.28,Colombia,7457.4972800000005
2021-01-02,24,7027864.52,Colombia,7027.864519999999
2021-01-03,1,6662581.99,Colombia,6662.581990000001
2021-01-03,2,6360349.91,Colombia,6360.34991
2021-01-03,3,6216714.65,Colombia,6216.714650000001
2021-01-03,4,6124777.9,Colombia,6124.7779
2021-01-03,5,6093826.85,Colombia,6093.8268499999995
2021-01-03,6,6091414.73,Colombia,6091.41473
2021-01-03,7,5882192.23,Colombia,5882.192230000001
2021-01-03,8,6068663.63,Colombia,6068.66363
2021-01-03,9,6415505.28,Colombia,6415.50528
2021-01-03,10,6733834.38,Colombia,6733.83438
2021-01-03,11,7014884.68,Colombia,7014.88468
2021-01-03,12,7253831.49,Colombia,7253.8314900000005
2021-01-03,13,7399192.39,Colombia,7399.192389999999
2021-01-03,14,7397134.36,Colombia,7397.13436
2021-01-03,15,7333069.45,Colombia,7333.06945
2021-01-03,16,7265667.2,Colombia,7265.6672
2021-01-03,17,7132794.08,Colombia,7132.79408
2021-01-03,18,7200537.48,Colombia,7200.537480000001
2021-01-03,19,8138566.26,Colombia,8138.56626
2021-01-03,20,8385739.94,Colombia,8385.739940000001
2021-01-03,21,8262113.66,Colombia,8262.11366
2021-01-03,22,7983504.74,Colombia,7983.50474
2021-01-03,23,7564896.08,Colombia,7564.89608
2021-01-03,24,7091237.36,Colombia,7091.23736
2021-01-04,1,6695350.68,Colombia,6695.35068
2021-01-04,2,6449780.35,Colombia,6449.78035
2021-01-04,3,6286050.62,Colombia,6286.05062
2021-01-04,4,6210814.16,Colombia,6210.81416
2021-01-04,5,6300268.8,Colombia,6300.2688
2021-01-04,6,6481808.25,Colombia,6481.80825
2021-01-04,7,6620248.5,Colombia,6620.2485
2021-01-04,8,7166146.62,Colombia,7166.14662
2021-01-04,9,7745746.7,Colombia,7745.746700000001
2021-01-04,10,8094376.6,Colombia,8094.3766
2021-01-04,11,8429732.11,Colombia,8429.732109999999
2021-01-04,12,8760759.25,Colombia,8760.75925
2021-01-04,13,8824784.61,Colombia,8824.784609999999
2021-01-04,14,8846848.0,Colombia,8846.848
2021-01-04,15,8910864.89,Colombia,8910.86489
2021-01-04,16,8873658.34,Colombia,8873.65834
2021-01-04,17,8673557.08,Colombia,8673.55708
2021-01-04,18,8452682.57,Colombia,8452.68257
2021-01-04,19,9174866.18,Colombia,9174.866179999999
2021-01-04,20,9338165.93,Colombia,9338.16593
2021-01-04,21,9127025.77,Colombia,9127.02577
2021-01-04,22,8707679.15,Colombia,8707.67915
2021-01-04,23,8056390.53,Colombia,8056.390530000001
2021-01-04,24,7454131.24,Colombia,7454.131240000001
2021-01-05,1,7006973.08,Colombia,7006.97308
2021-01-05,2,6723640.02,Colombia,6723.64002
2021-01-05,3,6555216.06,Colombia,6555.21606
2021-01-05,4,6461895.74,Colombia,6461.89574
2021-01-05,5,6522580.72,Colombia,6522.58072
2021-01-05,6,6699828.84,Colombia,6699.82884
2021-01-05,7,6842594.92,Colombia,6842.59492
2021-01-05,8,7374195.78,Colombia,7374.19578
2021-01-05,9,7899883.29,Colombia,7899.88329
2021-01-05,10,8266266.42,Colombia,8266.26642
2021-01-05,11,8604514.7,Colombia,8604.5147
2021-01-05,12,8917808.85,Colombia,8917.80885
2021-01-05,13,8950539.31,Colombia,8950.53931
2021-01-05,14,8978313.8,Colombia,8978.3138
2021-01-05,15,9032141.41,Colombia,9032.14141
2021-01-05,16,8994667.68,Colombia,8994.66768
2021-01-05,17,8794691.71,Colombia,8794.691710000001
2021-01-05,18,8603864.31,Colombia,8603.86431
2021-01-05,19,9322228.65,Colombia,9322.228650000001
2021-01-05,20,9442480.19,Colombia,9442.48019
2021-01-05,21,9192732.73,Colombia,9192.73273
2021-01-05,22,8767821.35,Colombia,8767.82135
2021-01-05,23,8123050.23,Colombia,8123.050230000001
2021-01-05,24,7495938.63,Colombia,7495.93863
2021-01-06,1,7068358.27,Colombia,7068.35827
2021-01-06,2,6828010.93,Colombia,6828.0109299999995
2021-01-06,3,6668112.34,Colombia,6668.11234
2021-01-06,4,6563860.11,Colombia,6563.8601100000005
2021-01-06,5,6614982.96,Colombia,6614.98296
2021-01-06,6,6786364.97,Colombia,6786.36497
2021-01-06,7,6933127.0,Colombia,6933.127
2021-01-06,8,7477699.43,Colombia,7477.69943
2021-01-06,9,7996553.76,Colombia,7996.55376
2021-01-06,10,8321142.82,Colombia,8321.142820000001
2021-01-06,11,8668592.71,Colombia,8668.59271
2021-01-06,12,8984120.03,Colombia,8984.12003
2021-01-06,13,9024652.43,Colombia,9024.65243
2021-01-06,14,9059217.83,Colombia,9059.21783
2021-01-06,15,9116181.02,Colombia,9116.18102
2021-01-06,16,9069447.22,Colombia,9069.44722
2021-01-06,17,8894061.49,Colombia,8894.06149
2021-01-06,18,8699935.11,Colombia,8699.935109999999
2021-01-06,19,9355251.19,Colombia,9355.251189999999
2021-01-06,20,9500776.81,Colombia,9500.776810000001
2021-01-06,21,9270839.57,Colombia,9270.83957
2021-01-06,22,8815142.77,Colombia,8815.14277
2021-01-06,23,8196212.21,Colombia,8196.21221
2021-01-06,24,7611193.3,Colombia,7611.1933
2021-01-07,1,7170474.26,Colombia,7170.47426
2021-01-07,2,6901279.0,Colombia,6901.279
2021-01-07,3,6704201.69,Colombia,6704.201690000001
2021-01-07,4,6629934.06,Colombia,6629.93406
2021-01-07,5,6695024.22,Colombia,6695.024219999999
2021-01-07,6,6883617.1,Colombia,6883.6170999999995
2021-01-07,7,7017403.94,Colombia,7017.40394
2021-01-07,8,7562920.0,Colombia,7562.92
2021-01-07,9,8116473.75,Colombia,8116.47375
2021-01-07,10,8435746.15,Colombia,8435.74615
2021-01-07,11,8795887.74,Colombia,8795.88774
2021-01-07,12,9073002.95,Colombia,9073.00295
2021-01-07,13,9098159.99,Colombia,9098.15999
2021-01-07,14,9107491.83,Colombia,9107.49183
2021-01-07,15,9151378.33,Colombia,9151.37833
2021-01-07,16,9103631.33,Colombia,9103.63133
2021-01-07,17,8930812.62,Colombia,8930.812619999999
2021-01-07,18,8689764.18,Colombia,8689.76418
2021-01-07,19,9366602.04,Colombia,9366.60204
2021-01-07,20,9506937.38,Colombia,9506.937380000001
2021-01-07,21,9278252.43,Colombia,9278.25243
2021-01-07,22,8843112.27,Colombia,8843.11227
2021-01-07,23,8277692.77,Colombia,8277.69277
2021-01-07,24,7685535.84,Colombia,7685.53584
2021-01-08,1,7227648.58,Colombia,7227.64858
2021-01-08,2,6968333.0,Colombia,6968.333
2021-01-08,3,6791809.22,Colombia,6791.80922
2021-01-08,4,6705308.53,Colombia,6705.30853
2021-01-08,5,6761763.36,Colombia,6761.76336
2021-01-08,6,6943734.02,Colombia,6943.73402
2021-01-08,7,7058171.6,Colombia,7058.1716
2021-01-08,8,7485525.8,Colombia,7485.525799999999
2021-01-08,9,7974982.62,Colombia,7974.98262
2021-01-08,10,8257268.95,Colombia,8257.26895
2021-01-08,11,8588913.07,Colombia,8588.91307
2021-01-08,12,8920558.21,Colombia,8920.558210000001
2021-01-08,13,8945390.3,Colombia,8945.390300000001
2021-01-08,14,8917579.97,Colombia,8917.57997
2021-01-08,15,8955814.93,Colombia,8955.81493
2021-01-08,16,8868787.46,Colombia,8868.787460000001
2021-01-08,17,8653513.34,Colombia,8653.51334
2021-01-08,18,8509371.02,Colombia,8509.371019999999
2021-01-08,19,9172347.6,Colombia,9172.3476
2021-01-08,20,9284271.68,Colombia,9284.27168
2021-01-08,21,9022917.95,Colombia,9022.91795
2021-01-08,22,8655910.32,Colombia,8655.91032
2021-01-08,23,8119801.48,Colombia,8119.80148
2021-01-08,24,7559672.2,Colombia,7559.6722
2021-01-09,1,7134936.64,Colombia,7134.93664
2021-01-09,2,6848009.66,Colombia,6848.00966
2021-01-09,3,6692947.25,Colombia,6692.94725
2021-01-09,4,6581353.55,Colombia,6581.35355
2021-01-09,5,6623049.1,Colombia,6623.049099999999
2021-01-09,6,6700270.41,Colombia,6700.27041
2021-01-09,7,6715728.35,Colombia,6715.728349999999
2021-01-09,8,7062620.15,Colombia,7062.620150000001
2021-01-09,9,7508540.28,Colombia,7508.54028
2021-01-09,10,7862199.1,Colombia,7862.1991
2021-01-09,11,8183893.96,Colombia,8183.89396
2021-01-09,12,8413779.77,Colombia,8413.77977
2021-01-09,13,8476399.34,Colombia,8476.39934
2021-01-09,14,8394736.72,Colombia,8394.73672
2021-01-09,15,8229027.73,Colombia,8229.02773
2021-01-09,16,8123617.76,Colombia,8123.61776
2021-01-09,17,7936145.99,Colombia,7936.14599
2021-01-09,18,7926762.65,Colombia,7926.762650000001
2021-01-09,19,8746959.59,Colombia,8746.95959
2021-01-09,20,8879874.87,Colombia,8879.87487
2021-01-09,21,8597043.87,Colombia,8597.04387
